id,abbr,name,publisher,url,rank,type,category
88,HOTI,IEEE Symposium on High-Performance Interconnects,IEEE,https://dblp.org/db/conf/hoti/,C,Conference,1
89,VTS,IEEE VLSI Test Symposium,IEEE,https://dblp.org/db/conf/vts/,C,Conference,1
90,ITC-Asia,International Test Conference in Asia,IEEE,https://dblp.org/db/conf/itc-asia/,C,Conference,1
91,SEC,ACM/IEEE Symposium on Edge Computing,IEEE/ ACM,https://dblp.org/db/conf/ieeesec/index.html,C,Conference,1
92,NAS,"International Conference on Networking, Architecture and Storages",IEEE,https://dblp.org/db/conf/nas/index.html,C,Conference,1
93,HotStorage,USENIX Association,HotStorage,https://dblp.org/db/conf/hotstorage/index.html,C,Conference,1
94,APPT,International Symposium on Advanced Parallel Processing Technology,Springer,https://dblp.org/db/conf/appt/index.html,C,Conference,1
95,JCC,International Conference on JointCloud Computing,CCF&IEEE,https://dblp.org/db/conf/jointcloud/,C,Conference,1
96,JSAC,IEEE Journal on Selected Areas in Communications,IEEE,https://dblp.org/db/journals/jsac/,A,Journal,2
97,TMC,IEEE Transactions on Mobile Computing,IEEE,https://dblp.org/db/journals/tmc/,A,Journal,2
98,TON,IEEE Transactions on Networking,IEEE,https://dblp.org/db/journals/ton/,A,Journal,2
99,TOIT,ACM Transactions on Internet Technology,ACM,https://dblp.org/db/journals/toit/,B,Journal,2
100,TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,https://dblp.org/db/journals/tomccap/,B,Journal,2
101,TOSN,ACM Transactions on Sensor Networks,ACM,https://dblp.org/db/journals/tosn/,B,Journal,2
102,CN,Computer Networks,Elsevier,https://dblp.org/db/journals/cn/,B,Journal,2
103,TCOM,IEEE Transactions on Communications,IEEE,https://dblp.org/db/journals/tcom/,B,Journal,2
104,TWC,IEEE Transactions on Wireless Communications,IEEE,https://dblp.org/db/journals/twc/,B,Journal,2
105,,Ad Hoc Networks,Elsevier,https://dblp.org/db/journals/adhoc/,C,Journal,2
106,CC,Computer Communications,Elsevier,https://dblp.org/db/journals/comcom/,C,Journal,2
107,TNSM,IEEE Transactions on Network and Service Management,IEEE,https://dblp.org/db/journals/tnsm/,C,Journal,2
108,,IET Communications,IET,https://dblp.org/db/journals/iet-com/,C,Journal,2
109,JNCA,Journal of Network and Computer Applications,Elsevier,https://dblp.org/db/journals/jnca/,C,Journal,2
110,MONET,Mobile Networks and Applications,Springer,https://dblp.org/db/journals/monet/,C,Journal,2
111,,Networks,Wiley,https://dblp.org/db/journals/networks/,C,Journal,2
112,PPNA,Peer-to-Peer Networking and Applications,Springer,https://dblp.org/db/journals/ppna/,C,Journal,2
113,WCMC,Wireless Communications and Mobile Computing,Wiley,https://dblp.org/db/journals/wicomm/,C,Journal,2
114,,Wireless Networks,Springer,https://dblp.org/db/journals/winet/,C,Journal,2
115,IOT,IEEE Internet of Things Journal,IEEE,https://dblp.org/db/journals/iotj/index.html,C,Journal,2
116,TIOT,ACM Transactions on Internet of Things,ACM,https://dblp.org/db/journals/tiot/index.html,C,Journal,2
117,SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",ACM,https://dblp.org/db/conf/sigcomm/index.html,A,Conference,2
118,MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,https://dblp.org/db/conf/mobicom/,A,Conference,2
119,INFOCOM,IEEE International Conference on Computer Communications,IEEE,https://dblp.org/db/conf/infocom/,A,Conference,2
120,NSDI,Symposium on Network System Design and Implementation,USENIX,https://dblp.org/db/conf/nsdi/,A,Conference,2
121,SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,https://dblp.org/db/conf/sensys/,B,Conference,2
122,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,ACM,https://dblp.org/db/conf/conext/,B,Conference,2
123,SECON,"IEEE International Conference on Sensing, Communication, and Networking",IEEE,https://dblp.org/db/conf/secon/,B,Conference,2
124,IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ ACM,https://dblp.org/db/conf/ipsn/,B,Conference,2
125,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",ACM,https://dblp.org/db/conf/mobisys/,B,Conference,2
126,ICNP,IEEE International Conference on Network Protocols,IEEE,https://dblp.org/db/conf/icnp/,B,Conference,2
127,MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",IEEE/ ACM,https://dblp.org/db/conf/mobihoc/,B,Conference,2
128,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,ACM,https://dblp.org/db/conf/nossdav/,B,Conference,2
129,IWQoS,IEEE/ACM International Workshop on Quality of Service,IEEE,https://dblp.org/db/conf/iwqos/,B,Conference,2
130,IMC,ACM Internet Measurement Conference,ACM/ USENIX,https://dblp.org/db/conf/imc/,B,Conference,2
131,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,IEEE/ ACM,https://dblp.org/db/conf/ancs/,C,Conference,2
132,APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/ IEEE,https://dblp.org/db/conf/apnoms/,C,Conference,2
133,FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",Springer,https://dblp.org/db/conf/forte/,C,Conference,2
134,LCN,IEEE Conference on Local Computer Networks,IEEE,https://dblp.org/db/conf/lcn/,C,Conference,2
135,GLOBECOM,IEEE Global Communications Conference,IEEE,https://dblp.org/db/conf/globecom/,C,Conference,2
136,ICC,IEEE International Conference on Communications,IEEE,https://dblp.org/db/conf/icc/,C,Conference,2
137,ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,https://dblp.org/db/conf/icccn/,C,Conference,2
138,MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,IEEE,https://dblp.org/db/conf/mass/index.html,C,Conference,2
139,P2P,IEEE International Conference on Peer-to-Peer Computing,IEEE,https://dblp.org/db/conf/p2p/,C,Conference,2
140,IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,https://dblp.org/db/conf/ipccc/,C,Conference,2
141,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",IEEE,https://dblp.org/db/conf/wowmom/,C,Conference,2
142,ISCC,IEEE Symposium on Computers and Communications,IEEE,https://dblp.org/db/conf/iscc/,C,Conference,2
143,WCNC,IEEE Wireless Communications and Networking Conference,IEEE,https://dblp.org/db/conf/wcnc/,C,Conference,2
144,Networking,IFIP International Conferences on Networking,IFIP,https://dblp.org/db/conf/networking/index.html,C,Conference,2
145,IM,IFIP/IEEE International Symposium on Integrated Network Management,IFIP/ IEEE,https://dblp.org/db/conf/im/index.html,C,Conference,2
146,MSN,"International Conference on Mobility, Sensing and Networking",IEEE,https://dblp.org/db/conf/msn/,C,Conference,2
147,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,https://dblp.org/db/conf/mswim/,C,Conference,2
148,WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Springer,https://dblp.org/db/conf/wasa/,C,Conference,2
149,HotNets,ACM The Workshop on Hot Topics in Networks,ACM,https://dblp.org/db/conf/hotnets/,C,Conference,2
150,APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html,C,Conference,2
151,TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,https://dblp.org/db/journals/tdsc/,A,Journal,3
152,TIFS,IEEE Transactions on Information Forensics and Security,IEEE,https://dblp.org/db/journals/tifs/,A,Journal,3
153,,Journal of Cryptology,Springer,https://dblp.org/db/journals/joc/,A,Journal,3
154,TOPS,ACM Transactions on Privacy and Security,ACM,https://dblp.org/db/journals/tissec/index.html,B,Journal,3
155,,Computers & Security,Elsevier,https://dblp.org/db/journals/compsec/,B,Journal,3
156,,"Designs, Codes and Cryptography",Springer,https://dblp.org/db/journals/dcc/,B,Journal,3
157,JCS,Journal of Computer Security,IOS Press,https://dblp.org/db/journals/jcs/,B,Journal,3
158,Cybersecurity,Springer,Cybersecurity,https://dblp.org/db/journals/cybersec/index.html,B,Journal,3
159,CLSR,Computer Law & Security Review,Elsevier,https://dblp.org/db/journals/clsr/index.html,C,Journal,3
160,,EURASIP Journal on Information Security,Springer,https://dblp.org/db/journals/ejisec/,C,Journal,3
161,,IET Information Security,IET,https://dblp.org/db/journals/iet-ifs/,C,Journal,3
162,IMCS,Information and Computer Security,Emerald,https://dblp.org/db/journals/imcs/,C,Journal,3
163,IJICS,International Journal of Information and Computer Security,Inderscience,https://dblp.org/db/journals/ijics/,C,Journal,3
164,IJISP,International Journal of Information Security and Privacy,IGI Global,https://dblp.org/db/journals/ijisp/,C,Journal,3
165,JISA,Journal of Information Security and Applications,Elsevier,https://dblp.org/db/journals/istr/,C,Journal,3
166,SCN,Security and Communication Networks,Wiley,https://dblp.org/db/journals/scn/,C,Journal,3
167,HCC,High-Confidence Computing,Elsevier,https://www.journals.elsevier.com/high-confidence-computing,C,Journal,3
168,CCS,ACM Conference on Computer and Communications Security,ACM,https://dblp.org/db/conf/ccs/,A,Conference,3
169,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,Springer,https://dblp.org/db/conf/eurocrypt/,A,Conference,3
170,S&P,IEEE Symposium on Security and Privacy,IEEE,https://dblp.org/db/conf/sp/,A,Conference,3
171,CRYPTO,International Cryptology Conference,Springer,https://dblp.org/db/conf/crypto/,A,Conference,3
172,USENIX Security,USENIX Security Symposium,USENIX Association,https://dblp.org/db/conf/uss/,A,Conference,3
173,NDSS,Network and Distributed System Security Symposium,ISOC,https://dblp.org/db/conf/ndss/,A,Conference,3
174,ACSAC,Annual Computer Security Applications Conference,IEEE,https://dblp.org/db/conf/acsac/index.html,B,Conference,3
175,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,https://dblp.org/db/conf/asiacrypt/index.html,B,Conference,3
176,ESORICS,European Symposium on Research in Computer Security,Springer,https://dblp.org/db/conf/esorics/index.html,B,Conference,3
177,FSE,Fast Software Encryption,Springer,https://dblp.org/db/conf/fse/index.html,B,Conference,3
178,CSFW,IEEE Computer Security Foundations Workshop,IEEE,https://dblp.org/db/conf/csfw/index.html,B,Conference,3
179,SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,https://dblp.org/db/conf/srds/index.html,B,Conference,3
180,CHES,International Conference on Cryptographic Hardware and Embedded Systems,Springer,https://dblp.org/db/conf/ches/index.html,B,Conference,3
181,DSN,International Conference on Dependable Systems and Networks,IEEE/ IFIP,https://dblp.org/db/conf/dsn/index.html,B,Conference,3
182,RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,https://dblp.org/db/conf/raid/index.html,B,Conference,3
183,PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,https://dblp.org/db/conf/pkc/index.html,B,Conference,3
184,TCC,Theory of Cryptography Conference,Springer,https://dblp.org/db/conf/tcc/index.html,B,Conference,3
185,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,https://dblp.org/db/conf/wisec/,C,Conference,3
186,SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,https://dblp.org/db/conf/sacmat/,C,Conference,3
187,DRM,ACM Workshop on Digital Rights Management,ACM,https://dblp.org/db/conf/drm/,C,Conference,3
188,IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,ACM,https://dblp.org/db/conf/ih/,C,Conference,3
189,ACNS,International Conference on Applied Cryptography and Network Security,Springer,https://dblp.org/db/conf/acns/,C,Conference,3
190,AsiaCCS,ACM Asia Conference on Computer and Communications Security,ACM,https://dblp.org/db/conf/ccs/,C,Conference,3
191,ACISP,Australasia Conference on Information Security and Privacy,Springer,https://dblp.org/db/conf/acisp/,C,Conference,3
192,CT-RSA,The Cryptographer's Track at RSA Conference,Springer,https://dblp.org/db/conf/ctrsa/,C,Conference,3
193,DIMVA,Conference on Detection of Intrusions and Malware & Vulnerability Assessment,Springer,https://dblp.org/db/conf/dimva/,C,Conference,3
194,DFRWS,Digital Forensic Research Workshop,Elsevier,https://dblp.org/db/conf/dfrws/,C,Conference,3
195,FC,Financial Cryptography and Data Security,Springer,https://dblp.org/db/conf/fc/,C,Conference,3
196,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",IEEE,https://dblp.org/db/conf/trustcom/,C,Conference,3
197,SEC,IFIP International Information Security Conference,Springer,https://dblp.org/db/conf/sec/,C,Conference,3
198,IFIP WG 11.9,IFIP Working Group 11.9 International Conference on Digital Forensics,Springer,https://dblp.org/db/conf/ifip11-9/index.html,C,Conference,3
199,ISC,Information Security Conference,Springer,https://dblp.org/db/conf/isw/,C,Conference,3
200,ICDF2C,International Conference on Digital Forensics & Cyber Crime,Springer,https://dblp.org/db/conf/icdf2c/,C,Conference,3
201,ICICS,International Conference on Information and Communications Security,Springer,https://dblp.org/db/conf/icics/,C,Conference,3
202,SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,https://dblp.org/db/conf/securecomm/,C,Conference,3
203,NSPW,New Security Paradigms Workshop,ACM,https://dblp.org/db/conf/nspw/,C,Conference,3
204,PAM,Passive and Active Measurement Conference,Springer,https://dblp.org/db/conf/pam/,C,Conference,3
205,PETS,Privacy Enhancing Technologies Symposium,Springer,https://dblp.org/db/conf/pet/,C,Conference,3
206,SAC,Selected Areas in Cryptography,Springer,https://dblp.org/db/conf/sacrypt/,C,Conference,3
207,SOUPS,Symposium On Usable Privacy and Security,USENIX,https://dblp.org/db/conf/soups/,C,Conference,3
208,HotSec,USENIX Workshop on Hot Topics in Security,USENIX,http://www.usenix.org/events/,C,Conference,3
209,EuroS&P,IEEE European Symposium on Security and Privacy,IEEE,https://dblp.org/db/conf/eurosp/index.html,C,Conference,3
210,Inscrypt,International Conference on Information Security and Cryptology,Springer,https://dblp.org/db/conf/cisc/index.html,C,Conference,3
211,CODASPY,Conference on Data and Application Security and Privacy,ACM,https://dblp.org/db/conf/codaspy/index.html,C,Conference,3
212,BlockSys,"International Conference on Blockchain, Artificial Intelligence, and Trustworthy Systems",Springer,https://dblp.org/db/conf/blocksys/index.html,C,Conference,3
213,CSCloud,International Conference on Cyber Security and Cloud Computing,IEEE CSCloud Steering Committee,https://dblp.org/db/conf/cscloud/index.html,C,Conference,3
214,TOPLAS,ACM Transactions on Programming Languages and Systems,ACM,https://dblp.org/db/journals/toplas/,A,Journal,4
215,TOSEM,ACM Transactions on Software Engineering and Methodology,ACM,https://dblp.org/db/journals/tosem/,A,Journal,4
216,TSE,IEEE Transactions on Software Engineering,IEEE,https://dblp.org/db/journals/tse/,A,Journal,4
217,TSC,IEEE Transactions on Services Computing,IEEE,https://dblp.org/db/journals/tsc/,A,Journal,4
218,ASE,Automated Software Engineering,Springer,https://dblp.org/db/journals/ase/,B,Journal,4
219,ESE,Empirical Software Engineering,Springer,https://dblp.org/db/journals/ese/,B,Journal,4
220,IETS,IET Software,IET,https://dblp.org/db/journals/iet-sen/,B,Journal,4
221,IST,Information and Software Technology,Elsevier,https://dblp.org/db/journals/infsof/index.html,B,Journal,4
222,JFP,Journal of Functional Programming,Cambridge University Press,https://dblp.org/db/journals/jfp/,B,Journal,4
223,,Journal of Software: Evolution and Process,Wiley,https://dblp.org/db/journals/smr/,B,Journal,4
224,JSS,Journal of Systems and Software,Elsevier,https://dblp.org/db/journals/jss/,B,Journal,4
225,RE,Requirements Engineering,Springer,https://dblp.org/db/journals/re/,B,Journal,4
226,SCP,Science of Computer Programming,Elsevier,https://dblp.org/db/journals/scp/,B,Journal,4
227,SoSyM,Software and Systems Modeling,Springer,https://dblp.org/db/journals/sosym/,B,Journal,4
228,STVR,"Software Testing, Verification and Reliability",Wiley,https://dblp.org/db/journals/stvr/index.html,B,Journal,4
229,SPE,Software: Practice and Experience,Wiley,https://dblp.org/db/journals/spe/,B,Journal,4
230,CL,"Computer Languages, Systems and Structures",Elsevier,https://dblp.org/db/journals/cl/index.html,C,Journal,4
231,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,World Scientific,https://dblp.org/db/journals/ijseke/index.html,C,Journal,4
232,STTT,International Journal of Software Tools for Technology Transfer,Springer,https://dblp.org/db/journals/sttt/,C,Journal,4
233,JLAMP,Journal of Logical and Algebraic Methods in Programming,Elsevier,https://dblp.org/db/journals/jlap/index.html,C,Journal,4
234,JWE,Journal of Web Engineering,Rinton Press,https://dblp.org/db/journals/jwe/,C,Journal,4
235,SOCA,Service Oriented Computing and Applications,Springer,https://dblp.org/db/journals/soca/,C,Journal,4
236,SQJ,Software Quality Journal,Springer,https://dblp.org/db/journals/sqj/,C,Journal,4
237,TPLP,Theory and Practice of Logic Programming,Cambridge University Press,https://dblp.org/db/journals/tplp/,C,Journal,4
238,PACM PL,Proceedings of the ACM on Programming Languages,ACM,https://dblp.org/db/journals/pacmpl/index.html,C,Journal,4
239,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,ACM,https://dblp.org/db/conf/pldi/,A,Conference,4
240,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,https://dblp.org/db/conf/popl/,A,Conference,4
241,FSE,ACM International Conference on the Foundations of Software Engineering,ACM,https://dblp.org/db/conf/sigsoft/,A,Conference,4
242,SOSP,ACM Symposium on Operating Systems Principles,ACM,https://dblp.org/db/conf/sosp/,A,Conference,4
243,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",ACM,https://dblp.org/db/conf/oopsla/,A,Conference,4
244,ASE,International Conference on Automated Software Engineering,IEEE/ ACM,https://dblp.org/db/conf/kbse/,A,Conference,4
245,ICSE,International Conference on Software Engineering,IEEE/ ACM,https://dblp.org/db/conf/icse/,A,Conference,4
